6001;1487030400;PREVENTIVA;Agendado
6002;1487203200;PREVENTIVA;Agendado
6005;1486944000;PREVENTIVA;Agendado
6006;1485820800;PREVENTIVA;Agendado
6007;1486339200;PREVENTIVA;Agendado
6008;1487376000;PREVENTIVA;Agendado
6009;1487116800;PREVENTIVA;Agendado
6010;1486598400;PREVENTIVA;Agendado
6011;1484092800;PREVENTIVA;Agendado
6013;1486166400;PREVENTIVA;Agendado
6014;1487289600;PREVENTIVA;Agendado
6015;1486684800;PREVENTIVA;Agendado
6016;1487376000;PREVENTIVA;Agendado
6017;1485907200;PREVENTIVA;Agendado
6018;1489104000;PREVENTIVA;Agendado
6019;1486771200;PREVENTIVA;Agendado
6020;1487289600;PREVENTIVA;Agendado
6021;1487721600;PREVENTIVA;Agendado
6023;1489708800;PREVENTIVA;Agendado
6024;1486598400;PREVENTIVA;Agendado
6025;1486684800;PREVENTIVA;Agendado
6026;1488844800;PREVENTIVA;Agendado
6027;1489536000;PREVENTIVA;Agendado
6028;1489708800;PREVENTIVA;Agendado
6029;1486771200;PREVENTIVA;Agendado
6030;1486080000;PREVENTIVA;Agendado
6032;1488931200;PREVENTIVA;Agendado
6033;1487289600;PREVENTIVA;Agendado
6034;1487289600;PREVENTIVA;Agendado
6035;1490054400;PREVENTIVA;Agendado
6036;1484006400;PREVENTIVA;Agendado
6037;1487808000;PREVENTIVA;Agendado
6038;1486771200;PREVENTIVA;Agendado
6040;1486771200;PREVENTIVA;Agendado
6041;1486944000;PREVENTIVA;Agendado
6042;1483401600;PREVENTIVA;Agendado
6043;1487030400;PREVENTIVA;Agendado
6044;1486080000;PREVENTIVA;Agendado
6045;1487116800;PREVENTIVA;Agendado
6046;1489190400;PREVENTIVA;Agendado
6047;1487635200;PREVENTIVA;Agendado
6048;1485734400;PREVENTIVA;Agendado
6049;1488758400;PREVENTIVA;Agendado
6050;1487116800;PREVENTIVA;Agendado
6051;1487203200;PREVENTIVA;Agendado
6052;1489104000;PREVENTIVA;Agendado
6053;1487203200;PREVENTIVA;Agendado
6054;1486771200;PREVENTIVA;Agendado
6056;1486944000;PREVENTIVA;Agendado
6057;1489536000;PREVENTIVA;Agendado
6058;1488585600;PREVENTIVA;Agendado
