CGMP;Nome;Longitude;Latitude
6118;Posto Shell Muraki;-46.3673706054688;-23.6827697753906
6119;Posto Shell Mairipora;-46.5739898681641;-23.2923240661621
6120;Posto Shell Vila rica;-46.6054267883301;-23.5089015960693
6121;Posto Shell Novo Milenio;-46.4461135864258;-23.5592460632324
6123;Posto Shell Estação Anchieta;-46.5677947998047;-23.6897258758545
6124;Posto Shell La Caniza;-46.2869567871094;-23.99001121521
6127;Posto Shell Osasco Country;-46.7924194335938;-23.5529651641846
6128;Posto Shell Rally;-46.5521697998047;-23.582010269165
6129;Posto Shell Roan;-46.667293548584;-23.6087646484375
6130;Posto Shell Recanto da seringueira;-46.8118743896484;-23.5246772766113
6131;Posto Shell Nautica Frei Gaspar;-46.4079093933105;-23.9543266296387
6132;Posto Shell Vanessa Santos Silva;-46.4899673461914;-23.6648120880127
6133;Posto Shell Argetax Anchieta;-46.60107421875;-23.6138229370117
6134;Posto Shell Panamby;-46.726806640625;-23.6496620178223
6135;Posto Shell Tratto;-46.6037254333496;-23.7184028625488
6136;Posto Shell Novo Barao 2;-46.4341735839844;-23.665189743042
6137;Posto Shell Toninho trinta;-46.7021789550781;-23.7055149078369
6138;Posto Shell Estonia 3;-46.5506324768066;-23.705680847168
6139;Posto Shell Joia de Guarulhos;-46.5267791748047;-23.463399887085
6140;Posto Shell O Chefao;-46.5510063171387;-23.4516143798828
6142;Posto Shell Morumbi Star;-46.7342491149902;-23.6115055084229
6143;Posto Shell Veiga Filho;-46.6613693237305;-23.5389995574951
6145;Posto Shell Novo Barao;-46.6455612182617;-23.5320568084717
6146;Posto Shell Brilhante;-46.6332969665527;-23.5715465545654
6150;Posto Shell Moraes Sales;-47.0513496398926;-22.9052658081055
6151;Posto Shell Center Paraiso;-46.6456108093262;-23.572322845459
6154;Posto Shell Carlos E L Braga;-46.7120323181152;-23.6732120513916
6155;Posto Shell Antonio Paes;-46.6978569030762;-23.7308025360107
6156;Posto Shell Luppi;-46.7269401550293;-23.5876979827881
6159;Posto Shell Ermano Marchetti;-46.6966514587402;-23.5153846740723
6160;Posto Shell Isola;-46.7125587463379;-23.6739807128906
6161;Posto Shell Arco Verde Cotia;-46.9321899414063;-23.6122741699219
6163;Posto Shell Express Valinhos;-47.0007438659668;-22.9791603088379
6167;Posto Shell Sao Conrado;-46.7268295288086;-23.4795589447021
6168;Posto Shell Vida Nova;-46.6402587890625;-23.6510467529297
6169;Posto Shell Lorena;-46.6629257202148;-23.566385269165
6170;Posto Shell Pole Position;-47.0508003234863;-22.9227542877197
6171;Posto Shell Washington Luiz;-47.0564804077148;-22.9254264831543
