6442;Posto Shell Grande Amor;17/05/17;OK;OK;;17/05/17;17/05/17;OK;;;
6568;Posto Shell Paraiso Lubrificantes;OK;OK;OK;;18/05/17;18/05/17;OK;;;
6437;Posto Shell Importaçãoo;OK;OK;OK;;22/05/17;22/05/17;OK;;;
6445;Posto Shell Portela Dois;24/05/17;OK;OK;;24/05/17;24/05/17;OK;;;
6479;Posto Shell Meriti;OK;OK;OK;;25/05/17;25/05/17;OK;;;
6480;Posto Shell Suina Derivados de Petroleo;OK;OK;OK;;29/05/17;29/05/17;OK;;;
6458;Posto Shell Maramar;31/05/17;OK;OK;;31/05/17;31/05/17;OK;;;
6576;Posto Shell Avenida Central de Iraja;01/06/17;OK;OK;;01/06/17;01/06/17;OK;;;
6591;Posto Shell ALG;05/06/17;OK;OK;;05/06/17;05/06/17;OK;;;
6600;Posto Shell Barra Cachamorra;07/06/17;OK;OK;;07/06/17;07/06/17;OK;;;
6596;Posto Shell Abreu Dois;08/06/17;OK;OK;;08/06/17;08/06/17;OK;;;
6612;Posto Shell Abreu;13/06/17;OK;OK;;13/06/17;13/06/17;OK;;;
6286;Posto Shell Soledade Gaucha;29/03/17;OK;29/03/17;;29/03/17;29/03/17;;OK;OK;OK
6492;Posto Shell Pavao Castelinho;OK;OK;OK;;OK;OK;OK;;;
6392;Posto Shell Ceiba Speciosa;03/03/17;OK;OK;;03/03/17;03/03/17;OK;;;
6345;Posto Shell Cedro;OK;OK;OK;;22/02/17;22/02/17;;;OK;
6393;Posto Shell Castelinho de Sorocaba;20/03/17;OK;20/03/17;20/03/17;20/03/17;20/03/17;;;;
6342;Posto Shell Alpha De Votorantim;OK;OK;OK;;24/03/17;24/03/17;OK;;;
6593;Posto Shell Monte Santo;OK;OK;OK;;OK;28/03/17;;;;
6350;Posto Shell Aeroporto de Ubatuba;OK;OK;OK;;OK;28/06/17;;;;
6093;Posto Shell Fernão dias;15/02/17;15/02/17;OK;;15/02/17;15/02/17;OK;;;
6214;Posto Shell 3M;OK;OK;OK;;16/02/17;16/02/17;;;;
6454;Posto Shell Viaduto de Morato Eireli;OK;OK;OK;;OK;17/02/17;OK;OK;;
6373;Posto Shell Sabella e Sabella;20/02/17;OK;OK;OK;OK;OK;OK;;;
6299;Posto Shell Dar A;OK;21/02/17;OK;;22/02/17;22/02/17;;;21/02/17;
6428;Posto Shell AJ e AR;OK;OK;OK;;OK;23/02/17;;;;
