6056;Posto Shell Center Car;True;True;-23,5537967681885;-46,7433967590332;A;SP01;Posto Shell Center Car
6057;Posto Shell Moinho Velho;True;False;-23,5961627960205;-46,7459335327148;B;SP01;Posto Shell Moinho Velho
6058;Posto Shell Bordo;True;False;-23,5873508453369;-46,7320442199707;B;SP01;Posto Shell Bordo
6062;Posto Shell Asturias;True;False;-23,6375293731689;-46,7205200195313;D;SP02;Posto Shell Asturias
6063;Posto Shell Macedo;True;False;-23,4650726318359;-46,5136451721191;B;SP04;Posto Shell Macedo
6068;Posto Shell Kll;True;False;-23,6839866638184;-46,4694976806641;D;SP03;Posto Shell Kll
6070;Posto Shell Paraki;True;False;-23,6218662261963;-46,6719665527344;C;SP02;Posto Shell Paraki
6071;Posto Shell Oitenta;True;False;-23,6716213226318;-46,4588737487793;B;SP03;Posto Shell Oitenta
6072;Posto Shell Tonicar;True;False;-23,5918483734131;-46,6277465820313;C;SP02;Posto Shell Tonicar
6073;Posto Shell Agua Funda 2;True;False;-23,58518409729;-46,6179084777832;C;SP02;Posto Shell Agua Funda 2
6074;Posto Shell Kobayachi;True;False;-23,6076793670654;-47,0349502563477;B;SP01;Posto Shell Kobayachi
6075;Posto Shell 45;True;False;-23,6052093505859;-47,0223960876465;B;SP01;Posto Shell 45
6076;Posto Shell Nova Itapevi;True;False;-23,5362434387207;-46,9398345947266;B;SP01;Posto Shell Nova Itapevi
6077;Posto Shell Nellu;True;False;-23,6769142150879;-46,4653434753418;C;SP03;Posto Shell Nellu
6078;Posto Shell Star Red;True;False;-23,7074661254883;-46,5755844116211;B;SP03;Posto Shell Star Red
6079;Posto Shell Agua funda 1;True;False;-23,6077976226807;-46,6276817321777;B;SP02;Posto Shell Agua funda 1
6080;Posto Shell Turismo;True;False;-23,6838893890381;-46,6334075927734;B;SP02;Posto Shell Turismo
6081;Posto Shell Joinha de Guarulhos;True;False;-23,463659286499;-46,5272216796875;B;SP04;Posto Shell Joinha de Guarulhos
6082;Posto Shell Sao Joaquim;True;False;-23,4559230804443;-46,5600967407227;B;SP04;Posto Shell Sao Joaquim
6083;Posto Shell Via 10;True;False;-23,6689491271973;-46,6501388549805;C;SP02;Posto Shell Via 10
6084;Posto Shell 555;True;False;-23,4503555297852;-46,569450378418;D;SP04;Posto Shell 555
6085;Posto Shell Alcantara;True;False;-23,6966590881348;-46,7148284912109;B;SP01;Posto Shell Alcantara
6086;Posto Shell Cinadis;True;False;-23,7316913604736;-46,5525054931641;B;SP03;Posto Shell Cinadis
6087;Posto Shell Tapera Grande;True;False;-23,4514389038086;-46,4745941162109;B;SP04;Posto Shell Tapera Grande
