6538;OK;OK;OK;;OK;OK;OK;OK;;
6546;OK;OK;OK;;OK;OK;OK;OK;;
6550;OK;OK;OK;;OK;OK;OK;OK;;
6507;OK;OK;OK;;OK;23/02/17;OK;OK;;
6523;OK;OK;OK;;OK;OK;OK;OK;;
6532;OK;OK;OK;;OK;03/03/17;OK;OK;;
6533;OK;OK;OK;;OK;06/03/17;OK;OK;;
6536;OK;OK;OK;;OK;08/03/17;OK;OK;;
6539;OK;OK;OK;;OK;09/03/17;OK;OK;;
6541;OK;OK;OK;;OK;10/03/17;OK;OK;;
6542;OK;OK;OK;;OK;13/03/17;OK;OK;;
6543;OK;OK;OK;;OK;14/03/17;OK;OK;;
6544;OK;OK;OK;;OK;15/03/17;OK;OK;;
6549;OK;OK;OK;;OK;16/03/17;OK;OK;;
6551;OK;OK;OK;;OK;17/03/17;OK;OK;;
6552;OK;OK;OK;;OK;20/03/17;OK;OK;;
6562;OK;OK;OK;;OK;21/03/17;OK;OK;;
6563;OK;OK;OK;;OK;22/03/17;OK;OK;;
6564;OK;OK;OK;;OK;23/03/17;OK;OK;;
6566;OK;OK;OK;;OK;OK;OK;OK;;
6567;OK;OK;OK;;OK;07/03/17;OK;OK;;
6570;OK;OK;OK;;OK;27/03/17;OK;OK;;
6440;03/04/17;OK;03/04/17;;03/04/17;03/04/17;OK;03/04/17;;
6449;OK;OK;02/03/17;;02/03/17;02/03/17;OK;;;
6436;OK;OK;OK;;OK;18/02/17;OK;;;
6448;07/03/17;OK;OK;;OK;07/03/17;OK;OK;;
6481;27/02/17;OK;27/02/17;;27/02/17;27/02/17;OK;OK;;
6475;OK;23/02/17;OK;;23/02/17;23/02/17;OK;;;
6476;OK;OK;OK;;22/02/17;22/02/17;OK;;;
6434;OK;03/03/17;OK;;OK;03/03/17;OK;;;
6443;06/03/17;OK;OK;;OK;06/03/17;OK;;;
6446;OK;OK;OK;;OK;07/03/17;OK;;;
6571;OK;OK;OK;;OK;08/03/17;OK;;;
6478;OK;09/03/17;OK;;09/03/17;09/03/17;OK;;;
6525;OK;OK;OK;;OK;10/03/17;OK;;;
6447;13/03/17;OK;OK;;OK;13/03/17;OK;;;
6577;OK;OK;OK;;OK;14/03/17;OK;;;
6622;15/03/17;OK;15/03/17;;15/03/17;15/03/17;OK;;;
6438;OK;OK;OK;;16/03/17;16/03/17;OK;;;
6432;OK;OK;OK;;OK;17/03/17;OK;OK;;
6461;OK;OK;OK;;OK;20/03/17;OK;OK;;
6505;OK;OK;OK;;OK;21/03/17;OK;;;
6537;22/03/17;OK;22/03/17;;22/03/17;22/03/17;OK;;;
6450;OK;OK;OK;;23/03/17;23/03/17;OK;;;
6575;OK;OK;OK;;OK;27/03/17;OK;;;
6444;29/03/17;29/03/17;29/03/17;;29/03/17;29/03/17;OK;;;
6473;OK;OK;OK;;30/03/17;30/03/17;OK;;;
6463;OK;OK;OK;;OK;OK;OK;;;
6581;05/04/17;OK;05/04/17;;05/04/17;05/04/17;OK;;;
6474;OK;OK;OK;;06/04/17;06/04/17;OK;;;
6580;OK;OK;OK;;OK;OK;OK;;;
