3754;t;;1472747455;TASK0129795;;7;5;1;2;3497;2016-09-01
3775;t;;1485198816;INC0202537;;3;4;1;2;3325;2017-01-23
3796;t;;1485522804;INC0203736;;1;7;1;2;3671;2017-01-27
3817;t;;1476118289;INC0178244;;8;6;1;2;3531;2016-10-10
3838;t;;1485265616;INC0202690;;5;3;1;2;3450;2017-01-24
3859;t;;1474312115;TASK;;10;9;1;1;3363;2016-09-19
3880;t;;1485547904;INC0203590;;5;3;1;2;3487;2017-01-27
3901;t;;1477491777;TASK0145616;;10;9;1;8;3274;2016-10-26
3922;t;;1485269580;INC0202606;;1;7;1;2;3677;2017-01-24
3943;t;;1477500408;TASK0145603;;2;8;1;8;3602;2016-10-26
3964;t;;1485281982;TASK0170168;;2;8;1;8;3624;2017-01-24
3985;t;;1474588815;Null;;8;6;1;5;3435;2016-09-22
4006;t;;1485281878;TASK0170353;;9;10;1;8;3517;2017-01-24
4027;t;;1476795807;INC0179844;;2;8;1;2;3622;2016-10-18
4048;t;;1480346252;TASK0120952;;9;10;1;10;3458;2016-11-28
4069;t;;1476541579;INC0179582;;8;6;1;2;3430;2016-10-15
4090;t;;1479314931;TASK0148577;;2;8;1;3;3662;2016-11-16
2128;t;;1478031396;INC0183863;;10;9;1;2;3264;2016-11-01
2150;t;;1481572448;TASK0158227;;9;10;1;6;3353;2016-12-12
2172;t;;1477740964;INC0183167;;1;7;1;2;3666;2016-10-29
2194;t;;1481738645;TASK0159064;;10;9;1;8;3263;2016-12-14
2216;t;;1479322278;TASK0126692;;4;2;1;10;3530;2016-11-16
2238;t;;1475069092;INC0176080;;1;7;1;2;3659;2016-09-28
2260;t;;1481728994;INC0193514;;5;3;1;2;3329;2016-12-14
2282;t;;1479838119;INC;;10;9;1;2;3415;2016-11-22
2304;t;;1478527865;TASK0147794;;8;6;1;8;3393;2016-11-07
2326;t;;1483470768;INC0198257;;5;3;1;2;3506;2017-01-03
2348;t;;1483470985;TASK0125446;;3;4;1;8;3293;2017-01-03
2370;t;;1481906505;TASK0159438;;4;2;1;8;3262;2016-12-16
2392;t;;1480962052;TASK0156303;;9;10;1;8;3410;2016-12-05
2414;t;;1482254331;INC0190084;;3;4;1;2;3641;2016-12-20
2436;t;;1482257070;TASK0160770;;10;9;1;6;3362;2016-12-20
2458;t;;1482498922;INC0195652;;5;3;1;2;3284;2016-12-23
2480;t;;1481117399;TASK0156990;;1;7;1;9;3659;2016-12-07
2502;t;;1479925005;INC0188836;;8;6;1;2;3480;2016-11-23
2524;t;;1484763187;INC0201306;;4;2;1;2;3415;2017-01-18
2546;t;;1484130159;INC0199819;;4;2;1;2;3294;2017-01-11
2568;t;;1482524080;INC0195520;;3;4;1;2;3374;2016-12-23
2590;t;;1484820406;INC0201232;;9;10;1;2;3702;2017-01-19
2612;t;;1482579450;TASK0161381;;1;7;1;1;3666;2016-12-24
2634;t;;1476993389;INC0180419;;1;7;1;2;3671;2016-10-20
2656;t;;1473514103;TASK0132580;;7;5;1;8;3697;2016-09-10
2678;t;;1486405959;TASK0173755;;9;10;1;9;3715;2017-02-06
2700;t;;1472753233;INC0169893;;2;8;1;2;3699;2016-09-01
2722;t;;1472651972;INC0169632;;1;7;1;2;3673;2016-08-31
2744;t;;1485339177;TASK0170579;;1;7;1;8;3674;2017-01-25
2767;t;;1477066405;TASK0144259;;7;5;1;1;3563;2016-10-21
2789;t;;1473713047;TASK0132872;;8;6;1;8;3401;2016-09-12
2810;t;;1472664789;INC0129697;;10;9;1;2;3277;2016-08-31
2831;t;;1485358905;INC0202544;;5;3;1;2;3457;2017-01-25
2852;t;;1475861015;TASK0136648;;8;6;1;2;3375;2016-10-07
2873;t;;1485794974;INC203605;;10;9;1;2;3409;2017-01-30
2894;t;;1476220425;TASK;;4;2;1;8;3489;2016-10-11
2915;t;;1485800541;INC203887;;4;2;1;2;3376;2017-01-30
2936;t;;1479127968;TASK;;4;2;1;1;3317;2016-11-14
2957;t;;1476714185;TASK0141668;;1;7;1;2;3659;2016-10-17
2978;t;;1480101554;TASK0131756;;7;5;1;6;3565;2016-11-25
2999;t;;1474475999;INC0174106;;8;6;1;2;3423;2016-09-21
3020;t;;1480101632;TASK0131756;;7;5;1;9;3565;2016-11-25
3041;t;;1474481348;INC0174124;;2;8;1;2;3610;2016-09-21
3062;t;;1479138136;TASK0151033;;8;6;1;8;3609;2016-11-14
3083;t;;1485450284;TASK0170963;;2;8;1;8;3619;2017-01-26
3104;t;;1476892087;INC0180268;;8;6;1;2;3510;2016-10-19
3125;t;;1481813239;TASK0159431;;10;9;1;8;3576;2016-12-15
3146;t;;1476883511;TASK;;4;2;1;7;3277;2016-10-19
3167;t;;1482932059;INC0196337;;3;4;1;2;3345;2016-12-28
3188;t;;1478199745;TASK0147750;;9;10;1;8;3517;2016-11-03
3209;t;;1483371887;INC0197315;;3;4;1;2;3635;2017-01-02
3230;t;;1479490233;INC0187808;;1;7;1;2;3645;2016-11-18
3251;t;;1483376641;INC0197472;;5;3;1;2;3410;2017-01-02
3272;t;;1480446275;TASK0154804;;7;5;1;8;3497;2016-11-29
3293;t;;1474915858;TASK0136812;;2;8;1;8;3695;2016-09-26
3314;t;;1483382248;TASK0131832;;2;8;1;10;3590;2017-01-02
3335;t;;1483026946;INC0196207;;4;2;1;2;3303;2016-12-29
3356;t;;1479560738;INC0188051;;8;6;1;6;3462;2016-11-19
3377;t;;1486382819;TASK0205618;;4;2;1;2;3406;2017-02-06
3398;t;;1483445904;INC0197982;;3;4;1;2;3358;2017-01-03
3419;t;;1481139145;TASK014896;;9;10;1;8;3294;2016-12-07
3440;t;;1479832288;TASK0152925;;10;9;1;8;3364;2016-11-22
3461;t;;1479832286;TASK0126660;;9;10;1;10;3521;2016-11-22
3482;t;;1483980546;INC0199301;;7;5;1;2;3648;2017-01-09
3503;t;;1482768610;INC0195472;;3;4;1;2;3512;2016-12-26
3524;t;;1481046294;TASK0186677;;3;4;1;8;3422;2016-12-06
3545;t;;1475085053;TASK;;7;5;1;8;3496;2016-09-28
3566;t;;1484675770;INC0201130;;4;2;1;2;3410;2017-01-17
3587;t;;1484681355;TASK0144111;;10;9;1;6;3703;2017-01-17
3608;t;;1484249677;TASK0167017;;5;3;1;3;3344;2017-01-12
3629;t;;1484927647;INC0202268;;4;2;1;2;3634;2017-01-20
3650;t;;1484749492;INC0201351;;5;3;1;2;3405;2017-01-18
3671;t;;1484061897;INC0199637;;10;9;1;2;3397;2017-01-10
3692;t;;1478544065;TASK0148891;;10;9;1;8;3365;2016-11-07
3713;t;;1474058179;INC;;10;9;1;2;3290;2016-09-16
3734;t;;1472742736;INC0169684;;6;1;1;2;3299;2016-09-01
3755;t;;1472748409;INC0170029;;6;1;1;2;3353;2016-09-01
3776;t;;1485199519;INC0202359;;5;3;1;2;3405;2017-01-23
3797;t;;1472495505;INC0165588;;6;1;1;2;3526;2016-08-29
3818;t;;1476118392;TASK0140810;;8;6;1;8;3531;2016-10-10
3839;t;;1485265625;Null;;15;14;1;11;3471;2017-01-24
3860;t;;1474557170;Null;;10;9;1;5;3425;2016-09-22
3881;t;;1485553127;INC0203544;;5;3;1;2;3526;2017-01-27
3902;t;;1477498631;TASK0145605;;3;4;1;8;3290;2016-10-26
3923;t;;1485271276;INC0202913;;3;4;1;2;3377;2017-01-24
3944;t;;1477670366;INC0146520;;8;6;1;2;3640;2016-10-28
3965;t;;1485606255;INC0204007;;5;3;1;2;3370;2017-01-28
3986;t;;1474588914;Null;;8;6;1;5;3457;2016-09-22
4007;t;;1485285160;TASK0170401;;5;3;1;6;3459;2017-01-24
4028;t;;1476797113;INC0180254;;3;4;1;2;3718;2016-10-18
4049;t;;1480466405;INC0189955;;3;4;1;2;3427;2016-11-29
4070;t;;1476543926;INC0179461;;8;6;1;2;3314;2016-10-15
4091;t;;1480352757;TASK0123105;;10;9;1;10;3275;2016-11-28
2129;t;;1478031961;INC0183752;;10;9;1;2;3264;2016-11-01
2151;t;;1481572923;TASK0134625;;4;2;1;1;3320;2016-12-12
2173;t;;1477745731;INC0181908;;10;9;1;2;3693;2016-10-29
2195;t;;1481738882;TASK0159064;;10;9;1;6;3263;2016-12-14
2217;t;;1479323606;INC0186903;;5;3;1;2;3580;2016-11-16
2239;t;;1475069693;INC0175832;;4;2;1;2;3444;2016-09-28
2261;t;;1481745188;TASK0158983;;3;4;1;8;3328;2016-12-14
2283;t;;1479838862;INC0188153;;5;3;1;2;3373;2016-11-22
2305;t;;1479744605;INC0188231;;3;4;1;2;3364;2016-11-21
2327;t;;1475082540;INC0175890;;4;2;1;2;3358;2016-09-28
2349;t;;1483472727;TASK0164414;;4;2;1;10;3458;2017-01-03
2371;t;;1482246710;TASK0160778;;10;9;1;6;3654;2016-12-20
2393;t;;1480963676;INC0191428;;8;6;1;2;3547;2016-12-05
2415;t;;1482257062;TASK0160770;;10;9;1;8;3362;2016-12-20
2437;t;;1482259661;INC0194468;;1;7;1;2;3677;2016-12-20
2459;t;;1482498956;INC0195613;;4;2;1;2;3449;2016-12-23
2481;t;;1481117961;TASK0154478;;8;6;1;10;3555;2016-12-07
2503;t;;1479925064;INC0188873;;8;6;1;2;3480;2016-11-23
2525;t;;1484765562;INC0201129;;5;3;1;2;3639;2017-01-18
2547;t;;1484774400;INC0201542;;5;3;1;2;3571;2017-01-18
2569;t;;1483732773;TASK0164484;;7;5;1;6;3552;2017-01-06
2591;t;;1484820628;INC0201432;;9;10;1;2;3702;2017-01-19
2613;t;;1482581801;INC0195756;;2;8;1;2;3722;2016-12-24
2635;t;;1476993571;INC0181370;;1;7;1;2;3671;2016-10-20
2657;t;;1473514780;INC0171917;;3;4;1;2;3527;2016-09-10
2679;t;;1486407183;INC0205935;;4;2;1;2;3336;2017-02-06
2701;t;;1472753233;INC0170027;;2;8;1;2;3699;2016-09-01
2723;t;;1472574863;TASK0129687;;1;7;1;2;3679;2016-08-30
2745;t;;1472652671;INC0169327;;6;1;1;2;3308;2016-08-31
2768;t;;1477401413;INC0182112;;2;8;1;2;3606;2016-10-25
2790;t;;1473973206;TASK;;10;9;1;1;3533;2016-09-15
2811;t;;1472666936;TASK0129986;;8;6;1;8;3421;2016-08-31
2832;t;;1485358967;TASK0170680;;5;3;1;6;3457;2017-01-25
2853;t;;1475861290;INC0177893;;2;8;1;2;3626;2016-10-07
2874;t;;1485795561;INC203666;;10;9;1;2;3409;2017-01-30
2895;t;;1476234008;INC0178457;;8;6;1;2;3328;2016-10-11
2916;t;;1472051943;INC0167530;;9;10;1;2;3513;2016-08-24
2937;t;;1479127983;INC;;4;2;1;2;3317;2016-11-14
2958;t;;1477429303;INC0181260;;4;2;1;2;3463;2016-10-25
2979;t;;1481632483;TASK0158539;;1;7;1;6;3668;2016-12-13
3000;t;;1474476963;TASK0135474;;7;5;1;8;3649;2016-09-21
3021;t;;1481633962;TASK0158582;;8;6;1;8;3495;2016-12-13
3042;t;;1474481373;TASK0134938;;2;8;1;1;3610;2016-09-21
3063;t;;1479140673;TASK0186695;;4;2;1;8;3317;2016-11-14
3084;t;;1485452628;INC0202795;;1;7;1;2;3681;2017-01-26
3105;t;;1477612117;TASK0146229;;4;2;1;2;3436;2016-10-27
3126;t;;1482928803;INC0196114;;2;8;1;2;3621;2016-12-28
3147;t;;1476898192;TASK0143546;;2;8;1;8;3686;2016-10-19
3168;t;;1482936572;INC0196176;;1;7;1;2;3679;2016-12-28
3189;t;;1479152159;TASK0185685;;3;4;1;8;3296;2016-11-14
3210;t;;1483371899;INC0197423;;3;4;1;2;3635;2017-01-02
3231;t;;1479490712;TASK0152062;;5;3;1;8;3646;2016-11-18
3252;t;;1485957079;INC0204388;;5;3;1;2;3422;2017-02-01
3273;t;;1480700053;TASK0137351;;10;9;1;10;3449;2016-12-02
3294;t;;1474916462;Null;;4;2;1;5;3360;2016-09-26
